HOPS   PACS70_photometry  PACS160_photometry
   0          n.obs          n.obs
   1           aper           aper
   2           aper            PSF
   3           aper           aper
   4           aper           aper
   5           aper           aper
   6           aper            PSF
   7           aper           aper
   8          n.det          n.det
   9          n.obs          n.obs
  10           aper           aper
  11           aper           aper
  12           aper            PSF
  13           aper           aper
  14          n.det           aper
  15           aper           aper
  16           aper           aper
  17           aper           aper
  18           aper            PSF
  19           aper            PSF
  20           aper           aper
  21           aper           aper
  22           aper           aper
  23          n.det          n.det
  24           aper           aper
  25          n.det          n.det
  26           aper           aper
  27          n.obs          n.obs
  28           aper            PSF
  29           aper            PSF
  30           aper            PSF
  31          n.det          n.det
  32           aper            PSF
  33           aper           aper
  34          n.det          n.det
  35          n.det          n.det
  36           aper            PSF
  37          n.det          n.det
  38            PSF           aper
  39          n.obs          n.obs
  40           aper            PSF
  41           aper           aper
  42           aper           aper
  43            PSF            PSF
  44            PSF            PSF
  45            PSF            PSF
  46          n.det           aper
  47           aper           aper
  48           aper          n.det
  49           aper           aper
  50           aper           aper
  51          n.det          n.det
  52          n.det          n.det
  53           aper           aper
  54          n.obs          n.obs
  55          n.det            PSF
  56           aper            PSF
  57           aper           aper
  58           aper           aper
  59           aper            PSF
  60           aper            PSF
  61          n.obs          n.obs
  62          n.det           aper
  63          n.det          n.det
  64          n.det          n.det
  65           aper           aper
  66            PSF           aper
  67          n.det          n.det
  68           aper            PSF
  69          n.det           aper
  70            PSF            PSF
  71           aper           aper
  72          n.det          n.det
  73           aper            PSF
  74            PSF           aper
  75           aper            PSF
  76            PSF            PSF
  77           aper           aper
  78           aper            PSF
  79          n.det          n.det
  80           aper          n.det
  81           aper            PSF
  82            PSF            PSF
  83          n.obs          n.obs
  84           aper           aper
  85           aper            PSF
  86            PSF           aper
  87            PSF            PSF
  88           aper            PSF
  89           aper           aper
  90           aper           aper
  91            PSF            PSF
  92           aper            PSF
  93           aper           aper
  94           aper            PSF
  95            PSF            PSF
  96           aper           aper
  97          n.det          n.det
  98            PSF           aper
  99           aper           aper
 100           aper           aper
 101            PSF           aper
 102           aper           aper
 103          n.det          n.det
 104          n.det          n.det
 105           aper           aper
 106          n.obs          n.obs
 107           aper           aper
 108            PSF            PSF
 109          n.obs          n.obs
 110          n.obs          n.obs
 111          n.obs          n.obs
 112          n.obs          n.obs
 113           aper           aper
 114           aper           aper
 115           aper            PSF
 116           aper            PSF
 117           aper            PSF
 118           aper            PSF
 119           aper            PSF
 120           aper            PSF
 121           aper           aper
 122           aper          n.det
 123           aper           aper
 124           aper           aper
 125            PSF          n.det
 126          n.obs          n.obs
 127           aper           aper
 128            PSF            PSF
 129           aper            PSF
 130           aper           aper
 131           aper            PSF
 132           aper            PSF
 133           aper           aper
 134           aper           aper
 135           aper           aper
 136           aper           aper
 137           aper           aper
 138           aper           aper
 139           aper           aper
 140           aper            PSF
 141           aper           aper
 142           aper           aper
 143           aper            PSF
 144            PSF           aper
 145           aper            PSF
 146          n.det           aper
 147           aper           aper
 148           aper            PSF
 149           aper           aper
 150           aper           aper
 151          n.det          n.det
 152           aper            PSF
 153           aper           aper
 154           aper            PSF
 155          n.obs          n.obs
 156           aper            PSF
 157           aper           aper
 158           aper            PSF
 159           aper            PSF
 160           aper            PSF
 161          n.obs          n.obs
 162          n.obs          n.obs
 163           aper           aper
 164           aper           aper
 165            PSF           aper
 166           aper           aper
 167           aper           aper
 168           aper           aper
 169           aper           aper
 170           aper           aper
 171           aper            PSF
 172            PSF            PSF
 173            PSF            PSF
 174            PSF           aper
 175            PSF           aper
 176            PSF            PSF
 177           aper            PSF
 178           aper           aper
 179           aper            PSF
 180          n.obs          n.obs
 181            PSF          n.det
 182           aper           aper
 183            PSF          n.det
 184           aper            PSF
 185           aper            PSF
 186           aper           aper
 187           aper          n.det
 188           aper           aper
 189           aper            PSF
 190            PSF           aper
 191           aper            PSF
 192           aper            PSF
 193           aper            PSF
 194           aper           aper
 195          n.det          n.det
 196          n.obs          n.obs
 197           aper           aper
 198           aper            PSF
 199           aper            PSF
 200           aper            PSF
 201           aper           aper
 202          n.obs          n.obs
 203           aper           aper
 204           aper           aper
 205           aper           aper
 206            PSF            PSF
 207           aper           aper
 208           aper           aper
 209           aper           aper
 210           aper            PSF
 211           aper            PSF
 212          n.obs          n.obs
 213           aper           aper
 214           aper           aper
 215           aper           aper
 216           aper            PSF
 217          n.obs          n.obs
 218          n.obs          n.obs
 219           aper           aper
 220            PSF            PSF
 221           aper           aper
 222           aper            PSF
 223           aper           aper
 224           aper           aper
 225            PSF            PSF
 226            PSF            PSF
 227           aper           aper
 228           aper           aper
 229           aper            PSF
 230          n.obs          n.obs
 231          n.obs          n.obs
 232           aper            PSF
 233           aper           aper
 234           aper            PSF
 235           aper           aper
 236           aper           aper
 237            PSF            PSF
 238           aper            PSF
 239           aper           aper
 240           aper           aper
 241            PSF            PSF
 242           aper           aper
 243           aper            PSF
 244           aper           aper
 245           aper            PSF
 246           aper           aper
 247           aper           aper
 248           aper            PSF
 249           aper           aper
 250           aper           aper
 251           aper            PSF
 252           aper            PSF
 253           aper           aper
 254           aper           aper
 255           aper           aper
 256           aper           aper
 257           aper            PSF
 258           aper            PSF
 259           aper            PSF
 260           aper           aper
 261           aper           aper
 262            PSF            PSF
 263            PSF            PSF
 264           aper           aper
 265           aper           aper
 266           aper           aper
 267           aper           aper
 268           aper           aper
 269          n.obs          n.obs
 270           aper            PSF
 271           aper            PSF
 272            PSF            PSF
 273            PSF            PSF
 274           aper           aper
 275           aper           aper
 276           aper           aper
 277           aper           aper
 278           aper           aper
 279           aper           aper
 280           aper           aper
 281           aper           aper
 282           aper           aper
 283           aper           aper
 284           aper           aper
 285           aper           aper
 286           aper            PSF
 287           aper           aper
 288           aper            PSF
 289          n.det          n.det
 290           aper           aper
 291           aper           aper
 292          n.obs          n.obs
 293           aper           aper
 294            PSF            PSF
 295            PSF            PSF
 296          n.det          n.det
 297            PSF           aper
 298           aper            PSF
 299            PSF            PSF
 300            PSF            PSF
 301            PSF           aper
 302          n.obs          n.obs
 303           aper           aper
 304           aper           aper
 305           aper          n.det
 306          n.obs          n.obs
 307          n.obs          n.obs
 308          n.obs          n.obs
 309          n.obs          n.obs
 310           aper           aper
 311           aper           aper
 312           aper           aper
 313          n.obs          n.obs
 314          n.obs          n.obs
 315           aper           aper
 316            PSF            PSF
 317           aper            PSF
 318           aper           aper
 319           aper           aper
 320            PSF            PSF
 321           aper           aper
 322            PSF           aper
 323            PSF            PSF
 324           aper            PSF
 325           aper           aper
 326            PSF            PSF
 327          n.obs          n.obs
 328          n.obs          n.obs
 329            PSF            PSF
 330          n.det          n.det
 331           aper            PSF
 332          n.det          n.det
 333            PSF            PSF
 334           aper           aper
 335            PSF            PSF
 336           aper           aper
 337           aper            PSF
 338            PSF            PSF
 339           aper           aper
 340            PSF            PSF
 341            PSF            PSF
 342           aper           aper
 343           aper           aper
 344           aper           aper
 345           aper           aper
 346           aper            PSF
 347           aper            PSF
 348           aper            PSF
 349          n.det          n.det
 350           aper           aper
 351          n.det          n.det
 352          n.det          n.det
 353          n.det          n.det
 354           aper           aper
 355           aper           aper
 356          n.obs          n.obs
 357            PSF           aper
 358           aper           aper
 359           aper           aper
 360          n.det          n.det
 361           aper           aper
 362          n.obs          n.obs
 363           aper           aper
 364           aper           aper
 365           aper           aper
 366            PSF           aper
 367           aper            PSF
 368           aper           aper
 369            PSF           aper
 370           aper           aper
 371           aper            PSF
 372           aper           aper
 373           aper           aper
 374           aper           aper
 375           aper           aper
 376           aper           aper
 377            PSF            PSF
 378           aper           aper
 379           aper           aper
 380            PSF           aper
 381          n.det           aper
 382           aper            PSF
