# PACS 70 micron aperture photometry (PACS70) and
# the best value for PACS 70 micron PSF photometry
# (after comparison of source positions on images)
# clustering_code = Single(s)/Companions(c)/Background(b)
  HOPS    PACS70   PSF_P70   PSF_P70_std        N    clustering_code
     1     3.697     5.164      0.0311          2            s  
     2     0.519     0.737      0.0000          1            s
     3     0.319     0.467      0.0000          1            s
     4     0.612     0.855      0.0000          1            s
     5     0.710     0.981      0.0262          2            s
     7     1.342     1.880      0.0000          1            s
    10     6.823     7.526      0.0000          1            s
    11    23.940    14.285      0.9192          2            s
    12    17.170    19.582      0.9256          2            s
    13     1.138     1.493      0.0240          2            s
    15     0.258     0.269      0.0000          1            c
    16     0.697     0.881      0.0453          2            s
    17     0.665     1.071      0.0127          2            c
    18     4.345     5.537      0.3033          2            c
    19     0.213     0.293      0.0120          2            b
    20     1.373     1.942      0.0000          1            s
    28     0.945     1.072      0.0000          1            s
    29     3.772     5.225      0.1506          2            s
    30     7.603     7.454      0.6491          2            s
    32     6.219     7.153      0.4384          2            s
    36     0.997     1.276      0.0000          1            s
    38     0.635     0.385      0.0000          1            b
    40     3.306     4.174      0.0000          1            b
    41     4.886     5.393      0.1987          2            s
    42     1.313     0.582      0.0000          1            b
    43     6.871     4.570      0.2814          2            b
    44     1.102     1.131      0.0000          1            b
    45    12.900     8.626      0.2737          2            b
    49     0.664     0.693      0.0000          1            b
    50     9.106    12.785      0.0000          1            s
    53    68.980    97.885      0.0000          1            b
    56    48.740    38.282      0.2341          2            b
    57     5.011     8.489      0.5650          2            b
    58     2.814     5.432      0.2349          3            b
    59    54.350    58.773      4.2766          2            b
    60    71.730    66.836      4.9725          3            s
    65     0.436     0.930      0.1692          3            b
    66   121.800    34.581      4.9724          2            c
    68     7.077     8.339      1.5685          3            b
    70    11.390     4.437      0.2790          4            c
    71    13.730    14.048      1.9276          4            b
    73     1.567     1.533      0.0754          3            b
    74     4.413     1.730      0.3861          2            b
    75     6.740     6.444      2.0942          3            c
    76     2.560     2.511      0.2644          3            c
    77     8.647     8.537      0.4555          3            s
    78    15.170    15.735      1.7076          3            c
    81     1.966     2.625      0.1762          3            s
    82     6.308     4.484      0.2043          3            b
    84   103.500   110.517      3.9549          3            b
    85    28.210    28.556      2.1354          3            c
    86    28.930     9.177      0.8791          3            c
    87    66.770    61.808      8.9598          2            c
    88    32.850    24.718      0.1195          2            c
    89     3.553     4.148      0.0042          2            c
    90     2.364     3.040      0.0262          2            s
    91     3.511     4.410      0.2572          3            c
    92    32.480    26.439      2.2394          2            c
    93     2.210     1.965      0.1718          2            c
    94     6.900    10.313      1.0281          2            c
    95     0.505     0.728      0.0106          2            s
    96     6.861     9.111      0.3698          2            s
    98     3.867     2.319      0.0000          1            b
    99     3.595     4.929      0.0000          1            s
   101     0.000     3.175      0.0000          1            b
   102     0.640     0.813      0.0000          1            b
   107     4.368     3.861      0.0000          1            b
   108   131.500    61.039      6.4356          3            c
   115     0.271     0.334      0.0310          3            s
   116     0.359     0.502      0.0175          3            c
   119     0.746     1.035      0.0000          1            s
   120     0.153     0.231      0.0085          2            s
   123     0.639     0.782      0.0489          3            c
   124   165.000   225.767      0.0000          1            c
   127     0.754     1.043      0.0000          1            s
   128     0.945     0.483      0.0000          1            c
   129     3.491     4.263      0.0000          1            s
   130     2.140     2.603      0.0346          2            s
   131     0.374     0.481      0.0127          2            c
   132     0.675     0.895      0.0226          2            c
   133     7.067     6.875      1.2707          2            c
   134     3.455     4.194      0.3818          2            s
   135     2.357     3.050      0.0049          2            s
   136     1.673     2.058      0.1351          3            s
   139     6.455     7.070      1.3067          2            s
   140     1.115     1.307      0.0141          2            c
   143     5.385     5.344      0.3316          2            c
   144     9.753     6.150      0.6385          2            c
   145     4.330     4.724      0.3196          2            c
   148     0.553     0.749      0.0000          1            c
   149     7.770     7.267      0.0000          1            s
   150     6.185     7.258      0.0000          1            s
   152     1.325     1.672      0.0000          1            s
   153     7.248     7.548      0.0000          1            s
   154     0.152     0.223      0.0000          1            s
   156     0.673     0.911      0.0000          1            s
   157     7.617     8.964      0.0000          1            s
   158     1.449     1.881      0.0000          1            s
   159     0.227     0.308      0.0000          1            s
   160     2.849     3.334      0.0000          1            s
   163     0.878     1.268      0.0000          1            s
   164     0.738     1.006      0.0000          1            s
   166    17.570    12.731      0.6767          2            s
   168   148.100   100.752      0.0000          1            b
   169     5.091     6.152      0.0000          1            s
   170     1.208     1.594      0.0170          2            s
   171     4.437     5.239      0.0000          1            s
   172     0.900     1.259      0.0686          2            s
   173     3.336     2.956      0.1591          2            c
   174     3.368     2.012      0.0000          1            c
   175     1.129     0.364      0.0120          2            c
   176     2.044     1.275      0.1195          2            c
   177     1.093     1.405      0.0000          1            s
   178    36.490    23.237      0.0000          1            b
   179     1.787     2.216      0.0000          1            s
   181    43.770    14.421      0.0000          1            c
   182   174.000   184.471      0.0000          1            b
   183     0.000     1.220      0.0000          1            c
   184     0.282     0.294      0.0000          1            b
   185     1.614     2.001      0.0000          1            s
   186     1.404     1.937      0.0000          1            s
   188    39.610    56.779      0.0000          1            c
   189     1.627     1.031      0.0000          1            c
   190     0.778     0.355      0.0000          1            c
   191     1.011     1.351      0.0000          1            s
   192     2.151     2.831      0.0000          1            s
   193     1.456     2.022      0.0000          1            s
   194    10.420     7.517      0.0000          1            s
   197     0.198     0.284      0.0000          1            c
   198     2.277     2.902      0.0000          1            s
   200     0.443     0.651      0.0000          1            s
   203    45.500    47.013      0.0000          1            c
   204     3.413     4.527      0.0000          1            s
   206     6.265     6.848      0.4978          2            s
   207     0.346     0.453      0.0000          1            s
   209     0.289     0.367      0.0272          3            s
   210     2.116     2.693      0.2226          3            c
   211     0.583     0.617      0.0298          3            c
   213     1.071     1.406      0.0757          2            s
   215     1.025     1.409      0.0464          2            s
   216     1.441     1.942      0.1507          3            s
   219     4.652     6.277      0.3557          2            c
   220     0.405     0.535      0.0573          2            c
   221    14.920    10.274      0.0000          1            c
   222     0.451     0.615      0.0622          2            s
   223    16.060    13.897      0.0000          1            c
   224     6.747     9.407      0.0000          1            c
   225     1.137     0.901      0.0481          2            c
   226     1.275     1.427      0.1315          2            c
   227     0.419     0.611      0.0262          2            s
   228    14.360    15.647      1.2982          2            b
   232     0.870     1.484      0.3458          2            s
   234     4.859     5.952      2.2132          2            s
   235     2.525     3.274      0.2021          3            s
   236     6.561     7.932      1.3698          3            c
   237     0.425     0.581      0.0608          2            c
   238     0.443     0.631      0.0226          2            s
   241     1.467     1.754      0.1980          3            c
   242     0.177     0.237      0.0021          2            s
   243     0.986     1.325      0.0799          2            s
   244     3.297     4.364      0.1325          3            s
   245     0.264     0.355      0.0062          3            s
   246     0.815     1.125      0.0573          2            s
   247     4.987     6.288      0.0000          1            s
   248     1.344     1.827      0.1531          3            s
   250    16.960    18.483      7.6078          2            b
   251     0.680     0.904      0.0827          2            s
   252     2.895     3.995      0.1237          2            c
   253     0.828     1.206      0.0566          3            s
   254    11.370    15.662      0.0000          1            c
   255     0.306     0.332      0.0014          2            c
   256     0.169     0.239      0.0049          2            c
   257     0.453     0.459      0.0014          2            c
   258     0.952     1.099      0.0460          3            c
   259     0.714     0.793      0.0000          1            c
   260     1.541     1.959      0.0000          1            c
   261     4.743     6.365      0.0000          1            c
   262     1.938     1.369      0.0000          1            c
   263     2.010     1.493      0.0000          1            c
   267     1.501     1.955      0.0877          2            s
   268     2.787     3.552      0.0000          1            s
   270     0.612     0.862      0.0177          3            s
   272     2.849     3.405      0.0000          1            c
   273     2.792     3.175      0.0000          1            c
   274     1.362     1.883      0.0417          2            s
   275     0.161     0.222      0.0021          2            s
   278     0.427     0.555      0.0987          3            s
   279     3.916     4.484      0.6251          2            s
   280     6.953     8.569      0.0000          1            s
   281     2.707     3.400      0.1541          2            s
   282     1.923     2.495      0.0000          1            s
   283     0.414     0.588      0.0000          1            s
   284     0.312     0.451      0.0000          1            s
   285     0.328     0.463      0.0038          3            s
   286     1.300     1.703      0.0626          3            c
   287     1.416     1.941      0.2275          3            c
   288   458.600   624.239      0.0000          1            s
   290     3.340     3.927      0.1548          3            c
   294     2.313     2.444      0.0000          1            b
   295     0.567     0.808      0.0000          2            b
   297     0.090     0.240      0.0042          2            b
   298    38.680    27.955      0.0000          1            b
   299    15.060    15.818      1.3004          2            c
   300     1.636     1.809      0.0453          2            b
   301     8.056     4.669      0.2560          2            c
   303     1.912     2.414      0.0000          1            s
   310    36.660    33.043      0.0000          1            b
   311     3.317     4.223      0.0000          1            s
   312     1.572     1.998      0.0000          1            s
   315     9.534     8.640      0.0000          1            c
   316     0.000     9.629      0.0000          1            c
   317     6.050     4.644      0.0000          1            c
   320     0.827     1.062      0.0000          1            s
   321     8.869     9.595      0.0000          1            s
   322     1.449     1.165      0.0000          1            c
   323    18.890    19.672      0.0000          1            c
   324     3.270     4.187      0.0000          1            b
   325    11.170    10.709      0.0000          1            b
   326     1.934     1.278      0.0000          1            b
   329     7.425     8.322      0.0933          2            b
   331     0.880     1.171      0.0000          1            c
   333     0.219     0.247      0.0000          1            c
   335     2.344     0.882      0.0304          2            b
   337     1.826     2.534      0.0000          1            s
   338     0.549     0.382      0.0000          1            c
   340     5.945     6.047      0.0000          1            c
   341     5.945     6.047      0.0000          1            c
   342     0.287     0.333      0.0000          1            c
   343     9.658    10.099      0.0000          1            c
   345     0.645     0.895      0.0255          3            s
   347     0.554     0.884      0.1386          2            b
   348     0.688     0.598      0.0177          2            b
   350     2.400     1.712      0.1937          2            b
   354     8.706    10.811      1.6164          2            s
   355     2.759     3.298      0.0000          1            s
   357     1.300     5.472      0.0000          1            b
   358    62.200    61.611      0.0000          1            b
   359    21.520    12.788      0.0000          1            b
   361  1007.000   889.414     62.8045          2            c
   363    25.160    27.209      0.0000          1            s
   364    85.020    90.665      0.0000          2            s
   365    35.680    23.375      0.0000          1            b
   366    19.320    15.290      0.0000          1            c
   368   110.600   111.372      8.9910          3            s
   369    48.000    21.580      2.2191          3            c
   370   827.800   739.057     67.8591          3            b
   371     0.415     0.410      0.0297          3            c
   372     6.412     7.372      0.4985          2            c
   373     5.461     6.794      0.0000          1            s
   376   143.400    98.430     10.8527          2            b
   377    11.370     9.901      1.1087          2            c
   378     0.876     1.200      0.0000          1            b
   380     1.737     0.697      0.0785          2            c
   383    16.300    16.544      2.4050          3            c
   384   993.200   957.107      0.0000          1            b
   385    11.660    10.469      0.0000          1            c
   386    37.080    33.237      0.0000          1            c
   387    26.500    10.986      0.0000          1            c
   388    32.150    31.028      0.9758          2            s
   389    10.090     5.700      0.0000          1            c
   390     7.887     9.189      0.0000          1            s
   394     2.506     3.558      0.4340          4            c
   397     0.703     0.766      0.0000          1            c
   398     0.506     0.549      0.0078          2            s
   399     4.571     4.498      0.1867          2            c
   400     3.286     4.174      0.0000          1            s
   401     0.648     0.791      0.0000          1            c
   402     0.431     0.622      0.0000          1            s
   404     1.049     1.354      0.0000          1            s
   405     1.604     2.295      0.0679          2            s
   406     0.478     0.472      0.0222          3            c
   407     0.302     0.490      0.0000          1            c
