obs_date; group; obsids; hops_ids
 19 Sep 2011 ; 82       ; 1342228913-14 ; 297, 300
 9 Sep 2011  ; 90       ; 1342228376-77 ; 311, 312
 9 Sep 2011  ; 302      ; 1342228374-75 ; 331
 9 Sep 2011  ; 94       ; 1342228365-66 ; 326
 7 Sep 2011  ; 77       ; 1342228327-28 ; 283
 7 Sep 2011  ; 73       ; 1342228325-26 ; 276
 4 Sep 2011  ; 33       ; 1342228171-72 ; 154
 4 Sep 2011  ; 78       ; 1342228169-70 ; 284
 4 Sep 2011  ; 70       ; 1342228167-68 ; 270
 4 Sep 2011  ; 320      ; 1342228165-66 ; 293
 4 Sep 2011  ; 71       ; 1342228163-64 ; 271, 275
 4 Sep 2011  ; 123      ; 1342228161-62 ; 287
 3 Sep 2011  ; 98       ; 1342227971-72 ; 344, 345
 3 Sep 2011  ; 97       ; 1342227969-70 ; 342, 343
 3 Sep 2011  ; 303      ; 1342227966-67 ; 359, 364
 3 Sep 2011  ; 68       ; 1342227848-49 ; 267
 24 Aug 2011 ; 6        ; 1342227328-29 ; 13
 24 Aug 2011 ; 7        ; 1342227326-27 ; 15
 24 Aug 2011 ; 47       ; 1342227324-25 ; 191
 24 Aug 2011 ; 49       ; 1342227322-23 ; 194
 24 Aug 2011 ; 52       ; 1342227320-21 ; 200
 24 Aug 2011 ; 51       ; 1342227318-19 ; 198
 24 Aug 2011 ; 41       ; 1342227316-17 ; 172
 24 Aug 2011 ; 35       ; 1342227314-15 ; 158
 24 Aug 2011 ; 101      ; 1342227312-13 ; 355
 24 Aug 2011 ; 43       ; 1342227310-11 ; 177
 22 Aug 2011 ; 13       ; 1342227098-99 ; 26
 22 Aug 2011 ; 10       ; 1342227096-97 ; 21
 22 Aug 2011 ; 40       ; 1342227094-95 ; 169, 171
 22 Aug 2011 ; 39       ; 1342227092-93 ; 170
 22 Aug 2011 ; 37       ; 1342227090-91 ; 163, 164
 22 Aug 2011 ; 36       ; 1342227088-89 ; 159, 160
 22 Aug 2011 ; 28       ; 1342227086-87 ; 127, 128
 22 Aug 2011 ; 313      ; 1342227084-85 ; 123
 22 Aug 2011 ; 75       ; 1342227082-83 ; 281
 22 Aug 2011 ; 69       ; 1342227080-81 ; 268
 22 Aug 2011 ; 67       ; 1342227078-79 ; 259, 260
 21 Aug 2011 ; 83       ; 1342227049-50 ; 298, 299, 301
 21 Aug 2011 ; 86       ; 1342227047-48 ; 304, 305, 357
 21 Aug 2011 ; 32       ; 1342227045-46 ; 150, 152, 153
 18 Aug 2011 ; 85       ; 1342226735-36 ; 303
