,HOPS,f_HOPS,FJ,e_FJ,f_FJ,FH,e_FH,f_FH,FKs,e_FKs,f_FKs,F3.6,e_F3.6,f_F3.6,F4.5,e_F4.5,f_F4.5,F5.8,e_F5.8,f_F5.8,F8.0,e_F8.0,f_F8.0,F24,e_F24,f_F24,F70,e_F70,f_F70,F100,e_F100,f_F100,F160,e_F160,f_F160,F350,e_F350,f_F350,F870,e_F870,f_F870,F5.4,e_F5.4,F6.45,e_F6.45,F7.5,e_F7.5,F8.1,e_F8.1,F8.6,e_F8.6,F9.2,e_F9.2,F9.8,e_F9.8,F10.5,e_F10.5,F12.5,e_F12.5,F14.0,e_F14.0,F16.5,e_F16.5,F19.0,e_F19.0,F23.0,e_F23.0,F27.0,e_F27.0,F31.0,e_F31.0,F35.0,e_F35.0,Scf,SED,RA,Dec,2MASSJ_flux,2MASSJ_unc,2MASSJ_flg,2MASSH_flux,2MASSH_unc,2MASSH_flg,2MASSK_flux,2MASSK_unc,2MASSK_flg,[3.6]_flux,[3.6]_unc,[3.6]_flg,[4.5]_flux,[4.5]_unc,[4.5]_flg,[5.8]_flux,[5.8]_unc,[5.8]_flg,[8.0]_flux,[8.0]_unc,[8.0]_flg,[24]_flux,[24]_unc,[24]_flg,region,cloud,m_F70,m_F160,clr1,clr2
0,0,b'',,,3.0,0.000299000006634742,6.70000008540228e-05,1.0,0.0006300000241026282,8.299999899463728e-05,1.0,0.0004569999873638153,2.300000051036477e-05,1.0,0.000610999995842576,3.099999958067201e-05,1.0,0.0010100000072270632,5.8000001445179805e-05,1.0,0.0018500000005587935,0.00010299999848939478,1.0,0.007710000034421682,0.00048099999548867345,1.0,,,0.0,,,3.0,,,0.0,,,0.0,,,0.0,0.0008829999715089798,0.00015999999595806003,0.001339999958872795,0.00034500000765547156,0.0022700000554323196,0.00043200000072829425,0.0012600000482052565,6.710000161547214e-05,0.001829999964684248,7.259999983943999e-05,0.0019499999471008778,0.00012399999832268804,0.002959999954327941,0.0008420000085607171,0.002409999957308173,4.059999992023222e-05,0.0028299998957663774,0.00013699999544769526,0.0036899999249726534,0.00021699999342672527,0.0020699999295175076,0.0012600000482052565,0.003289999905973673,0.0006019999855197966,0.008059999905526638,0.002420000033453107,0.009410000406205654,0.003060000017285347,0.01119999960064888,0.005750000011175871,0.012900000438094139,0.0043299999088048935,1.0,b'SED',88.61714,1.62636,0.0,0.0,3,0.000299,6.7e-05,1,0.00063,8.3e-05,1,0.00045700000000000005,2.3e-05,1,0.000611,3.1e-05,1,0.001008,5.8e-05,1,0.001854,0.000103,1,0.007708,0.000481,1,LDN 1622,B,A,A,,
1,1,b'',,,3.0,,,3.0,,,3.0,0.0025500000920146704,0.00012799999967683107,1.0,0.005189999938011169,0.00026000000070780516,1.0,0.007160000037401915,0.00036100001307204366,1.0,0.00872000027447939,0.00043799998820759356,1.0,0.3240000009536743,0.016699999570846558,1.0,3.700000047683716,0.1850000023841858,1.0,4.570000171661377,0.23000000417232513,1.0,3.8399999141693115,0.20399999618530273,1.0,1.3300000429153442,0.5339999794960022,1.0,0.6349999904632568,0.12700000405311584,2.0,0.008630000054836273,0.0006070000235922635,0.009109999984502792,0.00042600001324899495,0.014000000432133675,0.0006019999855197966,0.014800000004470348,0.00010699999984353781,0.008659999817609787,2.789999962260481e-05,0.004819999914616346,0.00045900000259280205,0.006719999946653843,0.0003100000030826777,0.010200000368058681,0.00029600001289509237,0.03229999914765358,0.0003370000049471855,0.049800001084804535,0.0016499999910593033,0.06270000338554382,0.02199999988079071,0.10700000077486038,0.018799999728798866,0.296999990940094,0.021800000220537186,0.5730000138282776,0.04989999905228615,0.875,0.045499999076128006,1.1799999475479126,0.06459999829530716,1.1699999570846558,b'SED',88.5514,1.70986,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.002554,0.000128,1,0.005194,0.00026000000000000003,1,0.00716,0.000361,1,0.008725,0.00043799999999999997,1,0.3242,0.016659999999999998,1,LDN 1622,B,A,A,0.5927699208259583,-0.2797049880027771
2,2,b'',0.0002770000137388706,4.999999873689376e-05,1.0,0.0020600000862032175,0.00010199999815085903,1.0,0.008559999987483025,0.00020500000391621143,1.0,0.010200000368058681,0.0005119999987073243,1.0,0.024900000542402267,0.0012499999720603228,1.0,0.037700001150369644,0.001879999996162951,1.0,0.049400001764297485,0.002469999948516488,1.0,0.2849999964237213,0.014399999752640724,1.0,0.5189999938011169,0.026200000196695328,1.0,0.5139999985694885,0.03550000116229057,1.0,0.4009999930858612,0.04010000079870224,1.0,1.1299999952316284,0.45100000500679016,2.0,0.3869999945163727,0.07729999721050262,2.0,0.04360000044107437,0.003759999992325902,0.05249999836087227,0.0028699999675154686,0.06729999929666519,0.005260000005364418,0.07079999893903732,0.001120000029914081,0.05570000037550926,0.002630000002682209,0.0478999987244606,0.001930000027641654,0.04960000142455101,0.0009449999779462814,0.06809999793767929,0.002199999988079071,0.10499999672174454,0.003019999945536256,0.12700000405311584,0.0022299999836832285,0.16300000250339508,0.01810000091791153,0.21799999475479126,0.017899999395012856,0.296999990940094,0.01640000008046627,0.34599998593330383,0.009999999776482582,0.37700000405311584,0.021900000050663948,0.3700000047683716,0.030300000682473183,1.0,b'SED',88.53804000000001,1.7144400000000002,0.000277,5e-05,1,0.00206,0.000102,1,0.008556999999999999,0.000205,1,0.01023,0.000512,1,0.024919999999999998,0.001247,1,0.03765,0.001884,1,0.04938,0.00247,1,0.2849,0.01441,1,LDN 1622,B,A,P,-0.20456433296203613,-0.31193873286247253
3,3,b'',0.002199999988079071,8.900000102585182e-05,1.0,0.005049999803304672,0.00013899999612476677,1.0,0.009259999729692936,0.00020500000391621143,1.0,0.02419999986886978,0.0012100000167265534,1.0,0.032999999821186066,0.0016499999910593033,1.0,0.04580000042915344,0.0022899999748915434,1.0,0.06610000133514404,0.0033100000582635403,1.0,0.2720000147819519,0.013899999670684338,1.0,0.3190000057220459,0.016200000420212746,1.0,0.2939999997615814,0.019300000742077827,1.0,0.2619999945163727,0.016300000250339508,1.0,,,0.0,0.11999999731779099,0.024000000208616257,1.0,0.044599998742341995,0.007930000312626362,0.042899999767541885,0.0061900001019239426,0.05460000038146973,0.010499999858438969,0.06030000001192093,0.0037400000728666782,0.066600002348423,0.0026199999265372753,0.07819999754428864,0.007849999703466892,0.09459999948740005,0.001930000027641654,0.0982000008225441,0.0036200000904500484,0.08309999853372574,0.0059899999760091305,0.0949999988079071,0.006240000016987324,0.15199999511241913,0.003109999932348728,0.20600000023841858,0.01769999973475933,0.27900001406669617,0.004129999782890081,0.3140000104904175,0.0210999995470047,0.3409999907016754,0.01860000006854534,0.4050000011920929,0.024399999529123306,1.659999966621399,b'SED',88.73736,1.7156099999999999,0.002198,8.9e-05,1,0.0050479999999999995,0.000139,1,0.009263,0.000205,1,0.02417,0.001209,1,0.033,0.00165,1,0.045810000000000003,0.002292,1,0.06613,0.003307,1,0.2718,0.013909999999999999,1,LDN 1622,B,A,A,-0.3956650495529175,-0.2541660666465759
4,4,b'',0.0003819999983534217,5.2999999752501026e-05,1.0,0.0009210000280290842,7.500000356230885e-05,1.0,0.001970000099390745,0.00011100000119768083,1.0,0.002850000048056245,0.0001429999974789098,1.0,0.00622999994084239,0.000311999989207834,1.0,0.010900000110268593,0.0005450000171549618,1.0,0.015799999237060547,0.0007910000276751816,1.0,0.26600000262260437,0.013399999588727951,1.0,0.6119999885559082,0.030799999833106995,1.0,0.621999979019165,0.03359999880194664,1.0,0.5929999947547913,0.03290000185370445,1.0,,,0.0,0.18400000035762787,0.03680000081658363,2.0,0.020500000566244125,0.0012400000123307109,0.02319999970495701,0.00139999995008111,0.02930000051856041,0.0019399999873712659,0.022700000554323196,0.000645000021904707,0.012299999594688416,0.0009699999936856329,0.0065299998968839645,0.00039900001138448715,0.00674000009894371,0.0002690000110305846,0.011300000362098217,0.0002209999947808683,0.041999999433755875,0.0011099999537691474,0.06159999966621399,0.0026599999982863665,0.0877000018954277,0.003389999968931079,0.1469999998807907,0.004879999905824661,0.24199999868869781,0.010999999940395355,0.3400000035762787,0.00394000019878149,0.4099999964237213,0.009999999776482582,0.49399998784065247,0.03480000048875809,1.0,b'SED',88.72402,1.7861,0.00038199999999999996,5.3e-05,1,0.000921,7.5e-05,1,0.001975,0.00011100000000000001,1,0.002853,0.000143,1,0.006231,0.000312,1,0.010879999999999999,0.000545,1,0.0158,0.000791,1,0.2661,0.013430000000000001,1,LDN 1622,B,A,A,-0.10301701724529266,-0.2248556762933731
5,5,b'',,,3.0,0.0003659999929368496,7.000000186963007e-05,1.0,0.0008350000134669244,8.499999967170879e-05,1.0,0.004410000052303076,0.0002209999947808683,1.0,0.01140000019222498,0.0005680000176653266,1.0,0.016200000420212746,0.0008120000129565597,1.0,0.023600000888109207,0.001180000021122396,1.0,0.1720000058412552,0.00880999956279993,1.0,0.7099999785423279,0.0357000008225441,1.0,0.753000020980835,0.04179999977350235,1.0,0.6880000233650208,0.04190000146627426,1.0,1.5299999713897705,0.6119999885559082,2.0,0.06970000267028809,0.013899999670684338,2.0,0.014800000004470348,0.0027000000700354576,0.016899999231100082,0.001180000021122396,0.023000000044703484,0.004029999952763319,0.025800000876188278,0.0012400000123307109,0.020999999716877937,0.000818000000435859,0.013000000268220901,0.00022499999613501132,0.013299999758601189,0.0005939999828115106,0.02199999988079071,0.0021299999207258224,0.04529999941587448,0.0008210000232793391,0.06480000168085098,0.005109999794512987,0.07850000262260437,0.004679999779909849,0.10400000214576721,0.010499999858438969,0.17000000178813934,0.002219999907538295,0.24500000476837158,0.0021899999119341373,0.29899999499320984,0.012600000016391277,0.30799999833106995,0.004480000119656324,1.0,b'SED',88.63401,1.8019900000000002,0.0,0.0,3,0.000366,7e-05,1,0.0008349999999999999,8.5e-05,1,0.004409000000000001,0.000221,1,0.01135,0.0005679999999999999,1,0.01619,0.0008119999999999999,1,0.02364,0.001183,1,0.1725,0.008805,1,LDN 1622,B,A,A,0.1508430540561676,-0.2433265596628189
6,6,b'',,,3.0,,,3.0,,,3.0,0.00024300000222865492,1.4000000192027073e-05,1.0,0.0005389999714680016,2.8000000384054147e-05,1.0,0.0005440000095404685,4.099999932805076e-05,1.0,0.0008350000134669244,5.199999941396527e-05,1.0,0.025699999183416367,0.00139999995008111,1.0,0.09109999984502792,0.005520000122487545,1.0,0.13600000739097595,0.014399999752640724,1.0,0.1899999976158142,0.01899999938905239,1.0,1.5299999713897705,0.6129999756813049,2.0,0.23100000619888306,0.04619999974966049,2.0,0.0012700000079348683,0.0003929999948013574,0.000311999989207834,0.0004799999878741801,,,0.0008399999933317304,3.370000058566802e-06,0.0007639999967068434,6.690000009257346e-05,0.0007350000087171793,2.0199999198666774e-05,0.0011399999493733048,2.029999996011611e-05,0.0016400000313296914,0.00012399999832268804,0.0029100000392645597,4.780000017490238e-05,0.005379999987781048,0.0003009999927598983,0.011900000274181366,0.0009820000268518925,0.01590000092983246,0.0027099999133497477,0.03009999915957451,0.0008229999803006649,0.039900001138448715,0.0014400000218302011,0.050599999725818634,0.0044200001284480095,0.05350000038743019,0.005239999853074551,1.0,b'SED',88.57670999999999,1.81762,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.00024300000000000002,1.4e-05,1,0.000539,2.8e-05,1,0.000544,4.1e-05,1,0.0008349999999999999,5.2e-05,1,0.02568,0.001401,1,LDN 1622,B,A,A,0.08469848334789276,-0.05890533700585365
7,7,b'',,,3.0,,,3.0,,,3.0,0.0005869999877177179,2.9999999242136255e-05,1.0,0.0008880000095814466,4.5000000682193786e-05,1.0,0.0006970000104047358,4.199999966658652e-05,1.0,0.0006009999779053032,3.899999865097925e-05,1.0,0.08250000327825546,0.0043299999088048935,1.0,1.340000033378601,0.06729999929666519,1.0,1.75,0.08969999849796295,1.0,1.7899999618530273,0.09279999881982803,1.0,0.3610000014305115,0.14499999582767487,1.0,0.3580000102519989,0.07150000333786011,2.0,0.0006459999713115394,0.00030899999546818435,0.000307999987853691,0.000155999994603917,0.0002280000044265762,0.00017899999511428177,,,,,,,6.500000017695129e-05,2.879999919969123e-05,0.000299000006634742,0.00011999999696854502,0.0009950000094249845,0.0001140000022132881,0.0037700000684708357,0.00036299999919719994,0.009999999776482582,0.0024300001095980406,0.019500000402331352,0.0011399999493733048,0.07339999824762344,0.005049999803304672,0.1340000033378601,0.00017299999308306724,0.2240000069141388,0.0017900000093504786,0.32600000500679016,0.0210999995470047,1.0,b'SED',88.58352,1.8452099999999998,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.000587,3e-05,1,0.0008880000000000001,4.5e-05,1,0.000697,4.2e-05,1,0.000601,3.9e-05,1,0.08245,0.0043289999999999995,1,LDN 1622,B,A,A,0.7457640171051025,-0.19430501759052277
8,8,b'',,,3.0,,,3.0,,,3.0,0.0006849999772384763,3.5000000934815034e-05,1.0,0.0009330000029876828,4.70000013592653e-05,1.0,0.0014100000262260437,8.299999899463728e-05,1.0,0.002369999885559082,0.00015199999324977398,1.0,0.009999999776482582,0.0005729999975301325,1.0,,,3.0,,,3.0,,,3.0,,,0.0,0.03189999982714653,0.006380000151693821,2.0,0.0008399999933317304,0.0004450000124052167,0.0014900000533089042,0.0004149999876972288,0.0020600000862032175,0.0013000000035390258,0.0018400000408291817,5.4299998737405986e-05,0.002240000059828162,8.489999891025946e-05,0.002589999930933118,0.0004189999890513718,0.002219999907538295,0.00040600000647827983,0.0022799998987466097,0.00026500000967644155,0.003449999960139394,0.00013000000035390258,0.004540000110864639,5.830000009154901e-05,0.006930000148713589,0.000775999971665442,0.009999999776482582,0.0028099999763071537,0.011900000274181366,0.002520000096410513,0.014499999582767487,0.002139999996870756,0.01549999974668026,0.0014799999771639705,0.01600000075995922,0.0011399999493733048,1.0,b'SED',83.88797,-5.98511,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.000685,3.5e-05,1,0.000933,4.7e-05,1,0.001411,8.3e-05,1,0.002369,0.000152,1,0.01004,0.000573,1,ONC-S,A,A,A,,
9,9,b'',,,3.0,,,3.0,,,3.0,0.00031900001340545714,1.8999999156221747e-05,1.0,0.0005000000237487257,2.700000004551839e-05,1.0,0.0006670000148005784,7.999999797903001e-05,1.0,0.001509999972768128,0.00017800000205170363,1.0,0.01119999960064888,0.000623999978415668,1.0,,,0.0,,,3.0,,,0.0,,,0.0,0.021400000900030136,0.004290000069886446,2.0,0.0001880000054370612,0.0007719999994151294,0.00014099999680183828,0.0005419999943114817,0.00046400001156143844,0.001230000052601099,,,,,0.000590000010561198,0.00022699999681208283,0.0009820000268518925,0.00017800000205170363,0.0011399999493733048,0.0003870000073220581,0.0005939999828115106,0.00022899999748915434,0.0008169999928213656,0.00048600000445730984,0.0030400000978261232,0.00203000009059906,0.004170000087469816,0.00076299998909235,0.005909999832510948,0.0004920000210404396,0.01119999960064888,0.000493000028654933,0.01510000042617321,0.00044299999717622995,0.01209999993443489,0.0026400000788271427,1.0,b'SED',83.95503000000001,-5.98433,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.000319,1.9e-05,1,0.0005,2.7e-05,1,0.000667,8e-05,1,0.001509,0.000178,1,0.01122,0.000624,1,ONC-S,A,A,A,,
